PMID,Title,Abstract,Journal,Year,Authors,Cleaned_Abstract,Categories,Research_Type,Trial_Phase,Diseases,Treatments
40564656,The Incidence of Misdiagnosis in Patients with Ehlers-Danlos Syndrome.,"<b>Background</b>: Misdiagnosis, defined as the incorrect identification of a condition or the failure to identify a condition altogether, can lead to delayed treatment, unnecessary interventions, and avoidable morbidity and mortality. Ehlers-Danlos Syndrome (EDS) is a complex pain disorder that is often misdiagnosed or underdiagnosed due to lack of awareness among healthcare providers and variability in diagnostic criteria. <b>Objectives</b>: This study aimed to determine the misdiagnosis rate of hypermobile EDS (hEDS) with psychiatric disorders by physicians who are not board-certified in psychiatry. <b>Methods</b>: Between January 2010 and December 2018, the medical records of 429 patients who were diagnosed with hEDS were reviewed and analyzed. During the process of taking a history, patients were asked if they had previously been told by physicians who were not board-certified in psychiatry that their symptoms were ""in their head"", that they were ""making it up"" or seeking attention, or that they might suffer from Munchausen syndrome by proxy or a factitious disorder, or if such physicians had diagnosed them with conversion disorder. The Brown University Human Research Protection Program determined that the proposed activity was not research involving human subjects. <b>Results</b>: A retrospective chart review was conducted. Among the 429 patients, 405 patients (94.4%) said yes to at least one of the questions, with only 24 patients (5.6%) not having been misdiagnosed with psychiatric illnesses. A total of 378 patients (88%) were told that they were ""making it up"", 326 patients (76%) were told that they were attention-seeking, 286 patients (67%) were diagnosed with conversion disorder, 255 patients (60%) were told that ""it was in their head"", and 16 patients (4%) were diagnosed with Munchausen syndrome by proxy or a factitious disorder. <b>Conclusions</b>: Misdiagnosis of Ehlers-Danlos Syndrome is a pervasive issue with profound implications for patients' physical, mental, and economic well-being. By addressing the underlying causes of misdiagnosis and implementing strategies for improved recognition, the healthcare system can significantly enhance outcomes for individuals who are affected by these complex disorders.","Children (Basel, Switzerland)",2025,Chanbin Lee; Pradeep Chopra,< b > background</b > misdiagnosis define incorrect identification condition failure identify condition altogether lead delay treatment unnecessary intervention avoidable morbidity mortality ehler danlos syndrome eds complex pain disorder misdiagnose underdiagnose lack awareness healthcare provider variability diagnostic criterion < b > objectives</b > study aim determine misdiagnosis rate hypermobile eds heds psychiatric disorder physician board certify psychiatry < b > methods</b > january 2010 december 2018 medical record 429 patient diagnose heds review analyze process take history patient ask previously tell physician board certify psychiatry symptom head make seek attention suffer munchausen syndrome proxy factitious disorder physician diagnose conversion disorder brown university human research protection program determine propose activity research involve human subject < b > results</b > retrospective chart review conduct 429 patient 405 patient 94.4 say yes question 24 patient 5.6 having misdiagnose psychiatric illness total 378 patient 88 tell make 326 patient 76 tell attention seeking 286 patient 67 diagnose conversion disorder 255 patient 60 tell head 16 patient 4 diagnose munchausen syndrome proxy factitious disorder < b > conclusions</b > misdiagnosis ehlers danlos syndrome pervasive issue profound implication patient physical mental economic address underlie cause misdiagnosis implement strategy improved recognition healthcare system significantly enhance outcome individual affect complex disorder,review,review,,,
40564632,Untangling the Threads: The Impact of Co-Occurring OCD and ADHD Symptoms for Black and/or Latiné Youth.,"<b>Introduction:</b> Obsessive-compulsive disorder (OCD) and attention-deficit/hyperactivity disorder (ADHD) are neuropsychiatric diagnoses that commonly co-occur, as approximately 25% of youth with OCD also have a diagnosis of ADHD and 11% of youth with ADHD have OCD. Individuals with ADHD and OCD are also commonly treated for symptoms of depression, anxiety, and traumatic experiences. Conversely, Black and Latiné youth in the United States have limited access to culturally responsive providers to address these conditions due to systemic racism; the lower rates of appropriate diagnosis, treatment, and inclusion in research create worsening symptoms of OCD. Thus, we sought to understand how ADHD symptoms affect OCD symptoms and how these comorbid diagnoses, in addition to anxiety disorders, affect reported anxiety, depression, and trauma for Black and/or Latiné teens. <b>Procedures:</b> Participants (<i>N</i> = 48) are Black and/or Latina/é/o youth with ADHD in the United States. Self and parent-report measures were completed for ADHD, anxiety, and depression, and a semi-structured interview was conducted to assess current mental health diagnoses (OCD, ADHD, trauma). <b>Results:</b> A path analysis showed higher levels of ADHD inattentive (ADHDI) symptoms (β = 0.34) were positively associated with obsessions. In contrast, higher ADHD hyperactive/impulsivity symptoms (ADHDHI) (β = -0.11) were negatively associated with obsessions. Neither ADHDI nor ADHDHI symptoms were associated with compulsions. Interestingly, ADHDI (β = 0.33) & obsessions (β = 0.28) were both associated with depression; however, ADHDHI was negatively associated with depression (β = -0.29). Importantly, ADHDI was associated with trauma (β = 0.13) and obsessions were strongly associated with anxiety (β = 0.38). <b>Conclusions:</b> These findings may allow for better screenings and treatments for co-occurring OCD and ADHD symptoms and a greater understanding of the impact depression, anxiety, and trauma have on neurodivergent Black and/or Latiné youth.","Children (Basel, Switzerland)",2025,Terumi S Randle; Laurel N Miskovic; Victoria R Grant O'Daniel; Anjo I Okechukwu; Najiya Shahzad; Kayla C Mkandawire; Madeline Warrick; Zoe R Smith,< b > introduction:</b > obsessive compulsive disorder ocd attention deficit hyperactivity disorder adhd neuropsychiatric diagnosis commonly co occur approximately 25 youth ocd diagnosis adhd 11 youth adhd ocd individual adhd ocd commonly treat symptom depression anxiety traumatic experience conversely black latiné youth united states limit access culturally responsive provider address condition systemic racism low rate appropriate diagnosis treatment inclusion research create worsen symptom ocd seek understand adhd symptom affect ocd symptom comorbid diagnosis addition anxiety disorder affect report anxiety depression trauma black and/or latiné teen < b > procedures:</b > participants < > n</i > = 48 black and/or latina é o youth adhd united states self parent report measure complete adhd anxiety depression semi structured interview conduct assess current mental health diagnosis ocd adhd trauma < b > results:</b > path analysis show high level adhd inattentive adhdi symptom β = 0.34 positively associate obsession contrast high adhd hyperactive impulsivity symptom adhdhi β = -0.11 negatively associate obsession adhdi adhdhi symptom associate compulsion interestingly adhdi β = 0.33 obsession β = 0.28 associate depression adhdhi negatively associate depression β = -0.29 importantly adhdi associate trauma β = 0.13 obsession strongly associate anxiety β = 0.38 < b > conclusions:</b > finding allow well screening treatment co occurring ocd adhd symptom great understanding impact depression anxiety trauma neurodivergent black and/or latiné youth,,,,,
40564623,Interventions to Promote Civic Engagement Among Youth and Its Outcomes on Mental Health: A Scoping Review.,"<b>Background/Objectives</b>: Youth mental health significantly impacts future well-being, with nearly half of mental health disorders emerging during adolescence. Civic engagement is defined as active participation in the community to improve conditions for others or to help shape the community's future. It offers a unique opportunity to enhance youth mental well-being, acting as a protective factor against mental health struggles. In this line, Relational Developmental Systems Theory posits that positive youth development is positively linked to civic engagement. The main objective of this literature-based paper is to identify, select, assess, and synthesize the existing literature on interventions promoting mental health in the youth through civic engagement, resulting in an up-to-date review. <b>Methods</b>: Following PRISMA guidelines, a search was conducted using PsycInfo, Scopus, and Web of Science to gather studies published between 2018 and 2023, based on the combination of key terms: (""civic engagement"" OR ""social participation"") AND (""mental health"" OR ""psychological adjustment"" OR ""well-being"") AND (adolescen* OR teen* OR youth OR ""young people"") AND (program* OR intervention OR training OR education). Data extraction and risk-of-bias assessments were performed. <b>Results</b>: Ten studies were included in this review which suggest that civic engagement programs improve youth mental health outcomes, including reduced anxiety, reduced sadness, and increased resilience. These programs foster empowerment, sense of belonging, and social connections, while also enhancing interpersonal skills and career aspirations. Youth also gain valuable skills such as leadership, communication, and problem-solving, contributing to educational and vocational growth. However, challenges such as socio-economic barriers and attendance issues can impact some outcomes, with variations in effectiveness across programs. <b>Conclusions</b>: Youth civic engagement programs should integrate mental health support to mitigate the emotional costs of activism, ensuring greater participation and well-being. It is important to adapt these programs to local contexts and provide flexibility to strengthen participation and community impact. Future research should explore the role of cultural, gender, and socio-economic factors in shaping program outcomes and utilize randomized controlled trials to improve the validity and generalizability of findings.","Children (Basel, Switzerland)",2025,Marina Oubiña López; Diego Gómez Baya,< b > background objectives</b > youth mental health significantly impact future nearly half mental health disorder emerge adolescence civic engagement define active participation community improve condition help shape community future offer unique opportunity enhance youth mental act protective factor mental health struggle line relational developmental systems theory posit positive youth development positively link civic engagement main objective literature base paper identify select assess synthesize exist literature intervention promote mental health youth civic engagement result date review < b > methods</b > follow prisma guideline search conduct psycinfo scopus web science gather study publish 2018 2023 base combination key term civic engagement social participation mental health psychological adjustment adolescen teen youth young people program intervention training education datum extraction risk bias assessment perform < b > results</b > study include review suggest civic engagement program improve youth mental health outcome include reduced anxiety reduce sadness increase resilience program foster empowerment sense belong social connection enhance interpersonal skill career aspiration youth gain valuable skill leadership communication problem solving contribute educational vocational growth challenge socio economic barrier attendance issue impact outcome variation effectiveness program < b > conclusions</b > youth civic engagement program integrate mental health support mitigate emotional cost activism ensure great participation important adapt program local context provide flexibility strengthen participation community impact future research explore role cultural gender socio economic factor shape program outcome utilize randomize control trial improve validity generalizability finding,clinical_trial; review,clinical_trial; review,,,
40564612,"Definitions of ""Mental Disorder"" from DSM-III to DSM-5.","The definition of ""mental disorder"" (MD) is one of the most critical themes throughout the history of psychopathology and in the development of the discipline itself. Despite this theme having been addressed since ancient times, the first explicit and shared definition of MD only appeared in the seventies, soon after the first internationally shared nosographies. In this perspective paper, we focused on the definitions of MD proposed in the various versions of the ""Diagnostic and Statistical Manual of Mental Disorders-DSM"", starting from the third edition of 1980. Over about 40 years, in the various versions of the DSM, six definitions of MD were proposed. We discussed the general matrix/structure of those definitions, as well as the main similarities and/or divergences, and some of the specific constructs and approaches used in such definitions. Additionally, we examined some papers that addressed the same topic in a similar manner and discussed the general debate that accompanied the proposal of the various DSM definitions, the significant attention those definitions attracted, and some minor and major criticisms.","Behavioral sciences (Basel, Switzerland)",2025,Mattia Vacca; Alessandro Mura; Gian Pietro Carrogu; Luca Gaviano; Riccardo Atzori; Donatella R Petretto,definition mental disorder md critical theme history psychopathology development discipline despite theme having address ancient time explicit share definition md appear seventy soon internationally shared nosographie perspective paper focus definition md propose version diagnostic statistical manual mental disorders dsm start edition 1980 40 year version dsm definition md propose discuss general matrix structure definition main similarity and/or divergence specific construct approach definition additionally examine paper address topic similar manner discuss general debate accompany proposal dsm definition significant attention definition attract minor major criticism,,,,,
40564596,Ins and Outs of Applied Behavior Analysis (ABA) Intervention in Promoting Social Communicative Abilities and Theory of Mind in Children and Adolescents with ASD: A Systematic Review.,"Social-communicative abilities and theory of mind (ToM) are crucial for successful social interactions. The developmental trajectories of social and communicative skills characterizing individuals with Autism Spectrum Disorder (ASD) are rather complex and multidimensional, including components related to theory of mind. Due to its mentalistic nature, theory of mind has been rarely addressed as an outcome for Applied Behavior Analysis (ABA) intervention in children and adolescents with ASD. However, there is evidence that ABA intervention might be effective in promoting social abilities in individuals with ASD. Thus, this topic is worth investigating. We present a systematic review to explore the Ins and Outs of an ABA approach to promote social and communicative abilities and ToM in children and adolescents with ASD. We applied a PRISMA checklist to consider studies published up to December 2024. The keywords that we used were ToM, perspective-taking, false belief, social cognition, and mental states, in combination with ABA intervention and ASD (up to age 18). We searched for studies using Scopus, Google Scholar, and Medline. We included twenty studies on perspective-taking, identifying emotions, helping, detecting eye gazing, and social engagement, reviewing fifteen dedicated to teaching the interpretation of mental states (involving 49 children and 10 adolescents). The ToM was addressed with a multiple baseline design on target behaviors associated with ToM components such as identifying emotion, helping behaviors, and mental states. The intervention included a behavioral package consisting of Behavioral Skill Training, Derived Relations, video modeling, and role playing. The results indicated a significant number of participants who followed ABA intervention to promote social abilities and mastered the target behavior in ToM tasks; however, they showed maintenance and generalization issues across trials and settings. The role of predictors was highlighted. However, the studies are still rare and exhibit specific methodological limitations, as well as some clinical and ethical considerations. More research is needed to define best practices in ABA intervention to promote social abilities in individuals with ASD.","Behavioral sciences (Basel, Switzerland)",2025,Marco Esposito; Roberta Fadda; Orlando Ricciardi; Paolo Mirizzi; Monica Mazza; Marco Valenti,social communicative ability theory mind tom crucial successful social interaction developmental trajectory social communicative skill characterize individual autism spectrum disorder asd complex multidimensional include component relate theory mind mentalistic nature theory mind rarely address outcome applied behavior analysis aba intervention child adolescent asd evidence aba intervention effective promote social ability individual asd topic worth investigate present systematic review explore ins out aba approach promote social communicative ability tom child adolescent asd apply prisma checklist consider study publish december 2024 keyword tom perspective taking false belief social cognition mental state combination aba intervention asd age 18 search study scopus google scholar medline include study perspective taking identify emotion help detect eye gazing social engagement review dedicated teach interpretation mental state involve 49 child 10 adolescent tom address multiple baseline design target behavior associate tom component identify emotion help behavior mental state intervention include behavioral package consist behavioral skill training derived relations video modeling role playing result indicate significant number participant follow aba intervention promote social ability master target behavior tom task show maintenance generalization issue trial setting role predictor highlight study rare exhibit specific methodological limitation clinical ethical consideration research need define good practice aba intervention promote social ability individual asd,review,review,,,
40564567,"Unraveling the Longitudinal Relationships Among Parenting Stress, Preschoolers' Problem Behavior, and Risk of Learning Disorder.","Problem behaviors and the risk of learning disorders in early childhood carry significant implications for children's future development. Understanding the relationship between parenting stress and these developmental outcomes may inform the design of effective interventions to promote healthy child development. The present longitudinal study investigated the association between parenting stress and preschoolers' risk of learning disorders, specifically focusing on the mediating role of problem behaviors. Data were collected at two time points, approximately 6 months apart, from 284 preschool-aged children and their parents (mean age of children at Time 1 = 56.64 months; 53.17% of them were girls). Parents completed standardized assessments of parenting stress, children's problem behaviors, and the risk of learning disorders. An autoregressive cross-lagged panel model within a half-longitudinal framework was employed to test the hypothesized mediation model. Results revealed that parenting stress had a direct effect on both children's problem behaviors and their risk of learning disorders. Moreover, children's problem behaviors partially mediated the longitudinal association between parenting stress and learning disorder risk. Specifically, the indirect effect size was statistically significant (<i>β</i> = 0.022, <i>p</i> = 0.025), indicating that increased parenting stress contributed to approximately a 2.2% increase in the risk of learning disorders through elevated problem behaviors. Theoretically, these findings underscore the critical role of child behavioral adjustment as a mechanism through which parenting stress may influence developmental risk. The results highlight the potential benefits of reducing parenting stress and addressing children's behavioral difficulties to prevent early learning problems. However, the study relied exclusively on parent-reported data, which may introduce shared method variance and reporting bias; future research should incorporate multiple informants and objective behavioral assessments.","Behavioral sciences (Basel, Switzerland)",2025,Jie Huang; Dongqing Yu; Xiaoxue Tang; Yili Xu; Xiao Zhong; Xiaoqian Lai,problem behavior risk learn disorder early childhood carry significant implication child future development understand relationship parenting stress developmental outcome inform design effective intervention promote healthy child development present longitudinal study investigate association parenting stress preschooler risk learn disorder specifically focus mediate role problem behavior datum collect time point approximately 6 month apart 284 preschool aged child parent mean age child time 1 = 56.64 month 53.17 girl parent complete standardized assessment parenting stress child problem behavior risk learn disorder autoregressive cross lag panel model half longitudinal framework employ test hypothesize mediation model result reveal parenting stress direct effect child problem behavior risk learn disorder child problem behavior partially mediate longitudinal association parenting stress learn disorder risk specifically indirect effect size statistically significant < > β</i > = 0.022 < > p</i > = 0.025 indicate increase parenting stress contribute approximately 2.2 increase risk learn disorder elevated problem behavior theoretically finding underscore critical role child behavioral adjustment mechanism parenting stress influence developmental risk result highlight potential benefit reduce parenting stress address child behavioral difficulty prevent early learning problem study rely exclusively parent report datum introduce share method variance reporting bias future research incorporate multiple informant objective behavioral assessment,,,,,
40564541,Social Cognition in Suicidal Behavior in Psychosis: A Systematic Review.,"Suicide is a major concern worldwide, especially in psychotic disorders that have an increased risk for suicidal behavior (SB). There are many well-established risk factors for SB in psychosis. Still, others, such as the domains of social cognition (SC)-the theory of mind, social perception, emotional processing, and attributional style-are unclarified. We aim to review evidence on SC and SB in psychosis and clarify their relationship, examining the differences between SC domains and the potential mediating variables in this relationship and proposing that worse performance in regard to SC is related to a higher risk of suicide. We searched databases for papers on SC and SB published between 2009 and 2024, resulting in the 18 articles included in this systematic review. Individuals with psychotic disorders and SB showed better emotional processing for basic emotional recognition-although they performed poorly on more complex tasks-and exhibited greater empathy within the affective theory of mind. Cognitive biases associated with attributional style and increased distrust as part of social perception were also found. Our findings cannot establish a relationship with the cognitive theory of mind. So, further studies are needed to integrate all domains of SC in longitudinal studies and examine the mediating variables of these relationships.","Behavioral sciences (Basel, Switzerland)",2025,María Carcedo Herrero; Aina Sastre-Buades; Maria Luisa Barrigón,suicide major concern worldwide especially psychotic disorder increase risk suicidal behavior sb establish risk factor sb psychosis domain social cognition sc)-the theory mind social perception emotional processing attributional style unclarified aim review evidence sc sb psychosis clarify relationship examine difference sc domain potential mediating variable relationship propose bad performance regard sc relate high risk suicide search database paper sc sb publish 2009 2024 result 18 article include systematic review individual psychotic disorder sb show well emotional processing basic emotional recognition perform poorly complex task exhibit great empathy affective theory mind cognitive bias associate attributional style increase distrust social perception find finding establish relationship cognitive theory mind study need integrate domain sc longitudinal study examine mediating variable relationship,review,review,,,
40564527,Phubbing Behaviour: A Bibliometric Analysis of Scientific Production.,"Phubbing refers to the act of ignoring someone in a face-to-face conversation by paying more attention to a mobile phone. This practice, although common, has been identified as harmful and deserves to be considered a problem. As a result, it has captured the attention of the scientific community, with a significant increase in studies in recent years. However, there is a lack of bibliometric analyses examining existing research on this topic, which would be useful in guiding future studies. This article seeks to fill that gap by providing a detailed bibliometric analysis of phubbing. It analyses the entire production in the Web of Science database between 1985 and 2022 (199 articles and 82 keywords). The study employs citation, co-occurrence, and co-citation analysis techniques using scientific maps created with VOSviewer software. The results indicate that most research has focused on how phubbing affects romantic relationships, with less emphasis on other types of relationships such as family, work, or friends. Areas that require further research are identified, such as motivations for internet use, the tendency to compare oneself on social networks, impulsivity, and the influence of executive functions on phubbing. Further exploration of the relationship between phubbing and other disorders is also suggested. This analysis will serve as a guide and stimulus for future research, offering valuable resources for professionals in psychology, health, and education.","Behavioral sciences (Basel, Switzerland)",2025,Ana Cebollero-Salinas; Begoña Gutiérrez-Nieto; Jacobo Cano-Escoriaza,phubbe refer act ignore face face conversation pay attention mobile phone practice common identify harmful deserve consider problem result capture attention scientific community significant increase study recent year lack bibliometric analysis examine exist research topic useful guide future study article seek fill gap provide detailed bibliometric analysis phubbing analyse entire production web science database 1985 2022 199 article 82 keyword study employ citation co occurrence co citation analysis technique scientific map create vosviewer software result indicate research focus phubbing affect romantic relationship emphasis type relationship family work friend area require research identify motivation internet use tendency compare oneself social network impulsivity influence executive function phubbe exploration relationship phubbing disorder suggest analysis serve guide stimulus future research offer valuable resource professional psychology health education,,,,,
40564472,Anatomical Characteristics Predict Response to Transcranial Direct Current Stimulation (tDCS): Development of a Computational Pipeline for Optimizing tDCS Protocols.,"Transcranial direct current stimulation (tDCS) is a non-invasive brain stimulation technique promisingly used to treat neurological and psychological disorders. Nevertheless, the inter-subject heterogeneity in its after-effects frequently limits its efficacy. This can be attributed to fixed-dose methods, which do not consider inter-subject anatomical variations. This work attempts to overcome this constraint by examining the effects of age and anatomical features, including the volume of cerebrospinal fluid (CSF), the thickness of the skull, and the composition of brain tissue, on electric field distribution and cortical excitability. A computational approach was used to map the electric field distribution over the brain tissues of realistic head models reconstructed from MRI images of twenty-three subjects, including adults and children of both genders. Significant negative correlations (<i>p</i> < 0.05) were found in the data between the maximum electric field strength and anatomical variable parameters. Furthermore, this study showed that the percentage of brain tissue exposed to an electric field amplitude above a pre-defined threshold (i.e., 0.227 V/m) was the main factor influencing the responsiveness to tDCS. In the end, the research suggests multiple regression models as useful tool to predict subjects' responsiveness and to support a personalized approach that tailors the injected current to the morphology of the patient.","Bioengineering (Basel, Switzerland)",2025,Giulia Caiani; Emma Chiaramello; Marta Parazzini; Eleonora Arrigoni; Leonor J Romero Lauro; Alberto Pisoni; Serena Fiocchi,transcranial direct current stimulation tdcs non invasive brain stimulation technique promisingly treat neurological psychological disorder inter subject heterogeneity effect frequently limit efficacy attribute fix dose method consider inter subject anatomical variation work attempt overcome constraint examine effect age anatomical feature include volume cerebrospinal fluid csf thickness skull composition brain tissue electric field distribution cortical excitability computational approach map electric field distribution brain tissue realistic head model reconstruct mri image subject include adult child gender significant negative correlation < > p</i > < 0.05 find datum maximum electric field strength anatomical variable parameter furthermore study show percentage brain tissue expose electric field amplitude pre define threshold i.e. 0.227 v m main factor influence responsiveness tdcs end research suggest multiple regression model useful tool predict subject responsiveness support personalized approach tailor inject current morphology patient,,,,,
40564444,Spiking Neural Networks for Multimodal Neuroimaging: A Comprehensive Review of Current Trends and the NeuCube Brain-Inspired Architecture.,"Artificial intelligence (AI) is revolutionising neuroimaging by enabling automated analysis, predictive analytics, and the discovery of biomarkers for neurological disorders. However, traditional artificial neural networks (ANNs) face challenges in processing spatiotemporal neuroimaging data due to their limited temporal memory and high computational demands. Spiking neural networks (SNNs), inspired by the brain's biological processes, offer a promising alternative. SNNs use discrete spikes for event-driven communication, making them energy-efficient and well suited for the real-time processing of dynamic brain data. Among SNN architectures, NeuCube stands out as a powerful framework for analysing spatiotemporal neuroimaging data. It employs a 3D brain-like structure to model neural activity, enabling personalised modelling, disease classification, and biomarker discovery. This paper explores the advantages of SNNs and NeuCube for multimodal neuroimaging analysis, including their ability to handle complex spatiotemporal patterns, adapt to evolving data, and provide interpretable insights. We discuss applications in disease diagnosis, brain-computer interfaces, and predictive modelling, as well as challenges such as training complexity, data encoding, and hardware limitations. Finally, we highlight future directions, including hybrid ANN-SNN models, neuromorphic hardware, and personalised medicine. Our contributions in this work are as follows: (i) we give a comprehensive review of an SNN applied to neuroimaging analysis; (ii) we present current software and hardware platforms, which have been studied in neuroscience; (iii) we provide a detailed comparison of performance and timing of SNN software simulators with a curated ADNI and other datasets; (iv) we provide a roadmap to select a hardware/software platform based on specific cases; and (v) finally, we highlight a project where NeuCube has been successfully used in neuroscience. The paper concludes with discussions of challenges and future perspectives.","Bioengineering (Basel, Switzerland)",2025,Omar Garcia-Palencia; Justin Fernandez; Vickie Shim; Nicola Kirilov Kasabov; Alan Wang,artificial intelligence ai revolutionise neuroimage enable automate analysis predictive analytic discovery biomarker neurological disorder traditional artificial neural network anns face challenge process spatiotemporal neuroimage datum limited temporal memory high computational demand spike neural network snns inspire brain biological process offer promising alternative snn use discrete spike event drive communication make energy efficient suit real time processing dynamic brain datum snn architecture neucube stand powerful framework analyse spatiotemporal neuroimage datum employ 3d brain like structure model neural activity enable personalise modelling disease classification biomarker discovery paper explore advantage snn neucube multimodal neuroimage analysis include ability handle complex spatiotemporal pattern adapt evolve datum provide interpretable insight discuss application disease diagnosis brain computer interface predictive modelling challenge training complexity datum encoding hardware limitation finally highlight future direction include hybrid ann snn model neuromorphic hardware personalise medicine contribution work follow comprehensive review snn apply neuroimage analysis ii present current software hardware platform study neuroscience iii provide detailed comparison performance timing snn software simulator curate adni dataset iv provide roadmap select hardware software platform base specific case v finally highlight project neucube successfully neuroscience paper conclude discussion challenge future perspective,review,review,,,
40564379,A 3D SVZonChip Model for In Vitro Mimicry of the Subventricular Zone Neural Stem Cell Niche.,"Neural stem cells (NSCs) are crucial components of the nervous system, primarily located in the subventricular zone (SVZ) and subgranular zone (SGZ). The SVZ neural stem cell niche (NSCN) is a specialized microenvironment where growth factors and extracellular matrix (ECM) components collaborate to regulate NSC self-renewal and differentiation. Despite its importance, our understanding of the SVZ remains incomplete due to the inherent challenges of animal research, particularly given the tissue's dynamic nature. To address these limitations, we developed a proof-of-concept, dynamic, and tissue-specific 3D organotypic SVZ model to reduce reliance on animal models. This static 3D organotypic model integrates a region-specific decellularized ECM derived from the SVZ, mimicking the native NSCN and supporting mouse-derived ependymal cells (ECs), radial glial cells (RGCs), astrocytes, and NSCs. To further improve physiological relevance, we incorporated a dynamic microfluidic culture system (SVZonChip), replicating cerebrospinal fluid (CSF) flow as observed in vivo. The resulting SVZonChip platform, combining region-specific ECM proteins with dynamic culture conditions, provides a sustainable and reproducible tool to minimize animal model use. It holds significant promise for studying SVZ-related diseases, such as congenital hydrocephalus, stroke, and post-stroke neurogenesis, while advancing translational research and enabling personalized medicine protocols.","Bioengineering (Basel, Switzerland)",2025,Ioannis Angelopoulos; Konstantinos Ioannidis; Konstantina Gr Lyroni; Dimitris Vlassopoulos; Martina Samiotaki; Eleni Pavlidou; Xanthippi Chatzistavrou; Ioannis Papantoniou; Konstantinos Papageorgiou; Spyridon K Kritas; Ioannis Grivas,neural stem cell nscs crucial component nervous system primarily locate subventricular zone svz subgranular zone sgz svz neural stem cell niche nscn specialized microenvironment growth factor extracellular matrix ecm component collaborate regulate nsc self renewal differentiation despite importance understanding svz remain incomplete inherent challenge animal research particularly give tissue dynamic nature address limitation develop proof concept dynamic tissue specific 3d organotypic svz model reduce reliance animal model static 3d organotypic model integrate region specific decellularized ecm derive svz mimic native nscn support mouse derive ependymal cell ecs radial glial cell rgc astrocyte nscs improve physiological relevance incorporate dynamic microfluidic culture system svzonchip replicate cerebrospinal fluid csf flow observe vivo result svzonchip platform combine region specific ecm protein dynamic culture condition provide sustainable reproducible tool minimize animal model use hold significant promise study svz relate disease congenital hydrocephalus stroke post stroke neurogenesis advance translational research enable personalized medicine protocol,,,,,
40564211,Enteroviral Transverse Myelitis Presenting as Acute Ataxia in Children: A Case Series.,"<b>Background</b>: Enteroviruses, members of the <i>Picornaviridae</i> family, typically cause asymptomatic or mild infections. However, they can also result in central nervous system (CNS) involvement, with transverse myelitis (TM) occurring only on rare occasions. TM is a syndrome characterized by acute or subacute spinal cord dysfunction, leading to neurological deficits below the level of the lesion. <b>Case report</b>: We report a case series of eight pediatric patients admitted over a three-month period, June to August 2024. All patients presented with ataxia and/or other neurological symptoms, alongside abnormal cerebrospinal fluid (CSF) findings. Although ataxia is commonly associated with cerebellitis, magnetic resonance imaging (MRI) in this cohort revealed findings consistent with TM. Notably, all patients demonstrated similar MRI abnormalities. The onset of symptoms occurred over a short time during an enterovirus epidemic. Enteroviral RNA was detected, or the virus was isolated in seven patients, while one patient had a close epidemiological link to the virus. All patients achieved full recovery following immunomodulatory therapy. <b>Conclusions</b>: This case series underscores that ataxia may be an atypical symptom associated with TM. Furthermore, there was a notable distinction between the clinical presentation and neuroradiological findings. Immunomodulatory therapy with immunoglobulins and corticosteroids has been shown to be effective and safe, supporting the hypothesis of an immune-mediated pathogenesis in these patients.",Biomedicines,2025,Luka Švitek; Dominik Ljubas; Nina Krajcar; Maja Vrdoljak Pažur; Ana Tripalo Batoš; Irena Tabain; Srđan Roglić; Lorna Stemberger Marić,< b > background</b > enterovirus member < > picornaviridae</i > family typically cause asymptomatic mild infection result central nervous system cns involvement transverse myelitis tm occur rare occasion tm syndrome characterize acute subacute spinal cord dysfunction lead neurological deficit level lesion < b > case report</b > report case series pediatric patient admit month period june august 2024 patient present ataxia and/or neurological symptom alongside abnormal cerebrospinal fluid csf finding ataxia commonly associate cerebellitis magnetic resonance imaging mri cohort reveal finding consistent tm notably patient demonstrate similar mri abnormality onset symptom occur short time enterovirus epidemic enteroviral rna detect virus isolate seven patient patient close epidemiological link virus patient achieve recovery follow immunomodulatory therapy < b > conclusions</b > case series underscore ataxia atypical symptom associate tm furthermore notable distinction clinical presentation neuroradiological finding immunomodulatory therapy immunoglobulin corticosteroid show effective safe support hypothesis immune mediate pathogenesis patient,case_study; observational,case_study; observational,,,
