PMID,Title,Abstract,Journal,Year,Authors
40562512,The Impact of Cognitive Impairment on Cardiovascular Disease.,"The older adult population is the fastest-growing segment of the U.S. population. Cardiovascular disease is common among older patients, which leads to excess morbidity, mortality, and health care utilization. Cognitive impairment is also common in older adults with cardiovascular disease and is expected to increase in parallel with cardiovascular disease because both conditions share the same underlying risk factors. Cardiovascular disease also exacerbates cognitive impairment through hypertension, cerebral hypoperfusion, inflammation, arrhythmia, emboli, and medication adverse events. Moreover, cognitive impairment can undermine the treatment of patients with cardiovascular disease because of changes in health literacy, adherence, and even the likelihood that guideline-directed medical and/or interventional management are under-prescribed. Patients with cognitive impairment are also more likely to endure delays in care and reduced participation in formative cardiovascular trials. In this State-of-the-Art review, we aim to: 1) examine the distinct types of cognitive impairment prevalent among cardiac patients; 2) explore the fundamental pathophysiology and mechanisms of cognitive impairment in adults with cardiovascular disease; 3) delineate the bidirectional impact of cognitive impairment and cardiovascular disease; and 4) discuss evidence-based management strategies to mitigate cognitive impairment in patients with cardiovascular diseases.",Journal of the American College of Cardiology,2025,Yasser Jamil; Ashok Krishnaswami; Ariela R Orkaby; Marnina Stimmel; Charles H Brown Iv; Adam P Mecca; Daniel E Forman; Michael W Rich; Michael G Nanna; Abdulla A Damluji
40562469,Aortic Valve Replacement in Women: A Pooled Analysis of the RHEIA and PARTNER 3 Trials.,"In women with severe aortic stenosis, there are limited data regarding outcome differences following transcatheter (TAVR) vs surgical aortic valve replacement (SAVR). The authors sought to examine outcomes of TAVR vs SAVR in a patient-level pooled analysis of women in the RHEIA and PARTNER 3 trials. Patients in both trials were randomly allocated to a balloon-expandable SAPIEN 3/Ultra valve or to surgical bioprostheses. Individual patient data of female participants in the 2 trials were pooled. The primary endpoint was all-cause mortality, all stroke, or rehospitalization at 1 year. A total of 376 women were randomized to TAVR and 336 to SAVR. The mean age was ∼73 years, and the mean Society of Thoracic Surgeons (STS) score was 2.1%. Kaplan-Meier estimates of event rates at 1 year with TAVR vs SAVR were 8.5% vs 16.8% for the composite of all-cause mortality, all stroke, or rehospitalization (absolute difference -8.2%; 95% CI: -13.1% to -3.3%; P < 0.001), 1.1% vs 2.1% (P = 0.27) for all-cause mortality, 2.7% vs 3.9% (P = 0.35) for all stroke, and 5.4% vs 11.9% (P = 0.002) for rehospitalization. The composite endpoint of all-cause death or stroke was similar between the 2 treatment groups: 3.5% vs 5.4% (absolute difference -1.9%; 95% CI: -5.0% to 1.1%; P = 0.21). Among women with symptomatic severe aortic stenosis, TAVR led to a reduction in the rate of the combined endpoint of all-cause mortality, stroke, or rehospitalization at 1-year follow-up, largely due to a significant reduction in the rate of rehospitalization.",JACC. Cardiovascular interventions,2025,Helene Eltchaninoff; Stephan Windecker; Michael J Mack; Philippe Pibarot; Vinod H Thourani; Jeroen J Bax; David J Cohen; Nikolaos Bonaros; Raj Makkar; Sabine Bleiziffer; Wilson Y Szeto; Pierre Berthoumieu; Rebecca T Hahn; Tomas Hovorka; Jan Mareš; Jennifer Taylor; Didier Tchetche; Martin B Leon
40562467,15-Year Outcomes of PFO Closure in Patients With Cryptogenic Embolism: Insights From the PROLONG Registry.,"Transcatheter patent foramen ovale (PFO) closure has become the gold-standard treatment for patients with cryptogenic embolism and PFO, but long-term outcomes data are limited. The aim of this study was to report the extended clinical outcomes of patients who underwent transcatheter PFO closure for cryptogenic embolism. PROLONG (PFO Transcatheter Occlusion Long-Term Outcomes National Group) is an investigator-initiated, multicenter, retrospective registry that enrolled patients who underwent transcatheter PFO closure between 1999 and 2013 at 12 centers in Italy. This analysis included only patients who underwent PFO closure for cryptogenic embolism, defined as cryptogenic ischemic stroke, transient ischemic attack, systemic embolism, or silent ischemic lesions on magnetic resonance imaging. Clinical, imaging, procedural, and follow-up data were collected from electronic health records and telephone interviews. The study included 1,245 patients (mean age 47 ± 12 years, 56% women), with a mean follow-up duration of 14.5 ± 2.4 years. During follow-up, 34 patients (2.7%) experienced recurrent ischemic stroke, transient ischemic attack, or systemic embolism (0.19 per 100 patient-years). Predictors of recurrent events were Risk of Paradoxical Embolism (RoPE) score ≤ 7 (HR: 3.44; 95% CI: 1.06-11.3; P = 0.041), nonprobable PFO-Associated Stroke Causal Likelihood (PASCAL) classification (HR: 2.72; 95% CI: 1.17-6.34; P = 0.020), and new-onset atrial fibrillation (HR: 7.01; 95% CI: 2.45-20.1; P < 0.001). Serious complications were rare (0.4% in hospital, 0.4% during follow-up) and nonfatal. This study confirms the long-term efficacy and safety of transcatheter PFO closure for patients with cryptogenic embolism and PFO in a real-world setting. (PFO Transcatheter Occlusion Long-Term Outcomes National Group [PROLONG] Registry; NCT06504121).",JACC. Cardiovascular interventions,2025,Carlo Gaspardone; Daniela Trabattoni; Daniele O d'Atri; Michele Morosato; Paolo Costa; Chiara Fraccaro; Andrea Donti; Francesco Saia; Evelina Toscano; Filippo Scalise; Alessio Cucco; Giuseppe Patti; Roberto Nerla; Fausto Castriota; Carlo Trani; Riccardo Improta; Massimo Mancone; Gennaro Sardella; Carmine Musto; Maurizio Paciaroni; Davide A Morciano; Gianluca Ricchetti; Lorenzo Zaccaria; Alessandro Beneduce; Giuseppe Barone; Anna Salerno; Ciro S Vella; Matteo Montorfano; Carlo Pappone; Antonio Colombo; Francesco Maisano; Francesco Burzotta; Giuseppe Tarantini; Alberto Margonato; Achille Gaspardone; Cosmo Godino
40562426,"Right C7 neurotomy at the intervertebral foramen plus intensive speech and language therapy versus intensive speech and language therapy alone for chronic post-stroke aphasia: multicentre, randomised controlled trial.","To evaluate whether right neurotomy of the seventh cervical nerve (C7) at the intervertebral foramen plus intensive speech and language therapy (SLT) improves language function compared intensive SLT alone in patients with chronic aphasia after stroke. Multicentre, assessor blinded, randomised controlled trial. Four centres in mainland China. 50 adults aged 40-65 years with aphasia for more than one year after a single left hemispheric stroke. Participants were randomised 1:1 to receive either C7 neurotomy plus three weeks of intensive SLT or three weeks of intensive SLT only, stratified by treatment centre. The primary outcome was change in score on the 60 item Boston naming test (BNT, scores 0-60, with higher scores indicating better naming function) from baseline to one week after C7 neurotomy plus intensive SLT for three weeks or intensive SLT for three weeks after deferral for one week (control group). Secondary outcomes included change in severity of aphasia using the aphasia quotient, calculated using the western aphasia battery, and patient reported outcomes on quality of life and depression after stroke. From 25 July 2022 to 31 July 2023, 322 out of 1086 patients received a diagnosis of post-stroke aphasia and were screened for eligibility. 50 eligible participants were randomly assigned to treatment groups (25 in each). Mean increase in BNT score was 11.16 points in the neurotomy plus SLT group and 2.72 points in the control group at one month (difference 8.51 points, 95% confidence interval (CI) 5.31 to 11.71, P<0.001). The between group difference in BNT score remained stable at six months (difference 8.26 points, 4.16 to 12.35, P<0.001). In addition, the aphasia quotient improved significantly in the neurotomy plus SLT group versus control group (difference at one month 7.06 points, 4.41 to 9.72, P<0.001), as did patient reported activities of daily living and post-stroke depression. No treatment related severe adverse events were reported. C7 neurotomy plus three weeks of intensive SLT was associated with a greater improvement in language function compared with three weeks of intensive SLT alone over a period of six months. No severe adverse events or long term troublesome symptoms or functional loss were reported. Chinese Clinical Trial Register ChiCTR2200057180.",BMJ (Clinical research ed.),2025,Juntao Feng; Ruiping Hu; Minzhi Lyu; Xingyi Ma; Tie Li; Yuan Meng; Wenjun Qi; Haozheng Li; Ying Zhang; Shanshan Ding; Zhiyu Wang; Xiu'En Chen; Jiejiao Zheng; Yongqian Fan; Ling Ding; Lihui Wang; Zilong Wei; Xiaozhi Zhu; Mingxuan Guo; Kaixiang Yang; Wenshuo Chang; Jingrui Yang; Miaomiao Xu; Wen Fang; Ying Liu; Yanqun Qiu; Huawei Yin; Jie Jia; Yundong Shen; Yizheng Wang; Yudong Gu; Wendong Xu
40562419,"Brexanolone, zuranolone and related neurosteroid GABA<sub>A</sub> receptor positive allosteric modulators for postnatal depression.","Postnatal depression - depression that occurs up to one year after a woman has given birth - is an important and common disorder that can have short- and long-term adverse impacts on the mother, her child and the family as a whole. Recommended treatment for postnatal depression is psychological therapy, and for more severe depression, antidepressants. However, many antidepressants are associated with limited response. Neurosteroid gamma-aminobutyric acid (GABA<sub>A</sub>) receptor positive allosteric modulators have been developed for the treatment of depression, including postnatal depression, and have a different mechanism of action than traditional antidepressants. To assess the benefits and harms of brexanolone, zuranolone and related neurosteroid GABA<sub>A</sub> receptor positive allosteric modulators compared to another active treatment (pharmacological, psychological or psychosocial), placebo or treatment as usual for postnatal depression. We searched Cochrane Common Mental Disorders' Specialised Register, CENTRAL, MEDLINE, Embase and PsycINFO in January 2024. We also searched two international trials registries and contacted experts in the field to identify the studies that are included in the review. We included randomised controlled trials (RCTs) of women with depression during the first 12 months following childbirth that compared neurosteroid GABA<sub>A</sub> receptor positive allosteric modulators with any other treatment (pharmacological, psychological or psychosocial), placebo or treatment as usual. We used standard Cochrane methodological procedures. The primary outcomes were depression response, depression remission and adverse events experienced by the mother, nursing baby, or both. The secondary outcomes were depression severity, treatment acceptability, quality of life and parenting- and child-related outcomes. We grouped analyses according to whether the neurosteroid GABA<sub>A</sub> receptor positive allosteric modulator was intravenous or oral. We assessed the certainty of the evidence using GRADE criteria. We identified six RCTs (674 women); all were placebo-controlled trials. Three studies tested intravenous brexanolone; one, intravenous ganaxolone; and two studies, oral zuranolone. Sample sizes ranged from 21 to 196. All were conducted in the USA. We judged the risks of selection, performance, detection, attrition and reporting biases to mostly be low, although the risk of selection and attrition bias was unclear in two studies. The biopharmaceutical companies which made the drugs sponsored all six included studies. They appear to have had a considerable role in the design and conduct of the studies. Intravenous neurosteroid GABA<sub>A</sub> receptor positive allosteric modulators versus placebo Low-certainty evidence suggests there may be little or no difference in depression response (risk ratio (RR) 1.24, 95% confidence interval (CI) 0.74 to 2.06; I<sup>2</sup> = 78%; 3 studies, 267 women) or remission (RR 1.18, 95% CI 0.59 to 2.38; I<sup>2</sup> = 73%; 3 studies, 267 women) at 30 days (classified in this review as the 'early phase' of treatment: between 0 and 5 weeks from commencement of treatment). There is also probably little or no difference in the number of adverse events affecting the mother (RR 1.02, 95% CI 0.71 to 1.48; I<sup>2</sup> = 46%; 4 studies, 325 women; moderate-certainty evidence). There is low-certainty evidence that there may be little or no difference in depression severity (mean difference (MD) -4.22, 95% CI -8.46 to 0.02; I<sup>2</sup> = 78%; 3 studies, 267 women) in the early phase (at 30 days following commencement of treatment); Hamilton Rating Scale for Depression (HAMD-17) score range 0 to 52. Moderate-certainty evidence suggests lower acceptability than placebo, leading to study dropout (RR 2.77, 95% CI 1.22 to 6.26; I<sup>2</sup> = 0%; 3 studies, 267 women). No studies measured quality of life or parenting- and child-related outcomes. Oral zuranolone versus placebo Moderate-certainty evidence suggests that zuranolone is probably associated with an improvement in depression response (RR 1.26, 95% CI 1.03 to 1.55; I<sup>2</sup> = 13%; 2 studies, 349 women) and remission (RR 1.65, 95% CI 1.22 to 2.22; I<sup>2</sup> = 0%; 2 studies, 349 women) at 45 days from commencement of treatment. Moderate-certainty evidence also suggests that zuranolone probably increases the rate of maternal adverse events (RR 1.24, 95% CI 1.03 to 1.48; I<sup>2</sup> = 0%; 2 studies, 349 women), when all adverse events are considered; the most frequent adverse event was somnolence. Zuranolone is also probably effective in reducing depression severity at day 45 (MD -3.79, 95% CI -5.60 to -1.97; I<sup>2</sup> = 0%; 2 studies, 349 women; moderate-certainty evidence); HAMD-17 score range 0 to 52. Low-certainty evidence suggests little or no difference in terms of treatment acceptability between zuranolone and placebo (RR 0.95, 95% CI 0.50 to 1.81; I<sup>2</sup> = 5%; 2 studies, 349 women). No studies measured quality of life. One study reported the Barkin Index of Maternal Functioning (a validated measure of patient-reported maternal functioning within the first year of childbirth), and found that zuranolone improved maternal functioning at day 45 (MD 7.20, 95% CI 1.42 to 12.98; 153 women), but the certainty of this evidence was low. This review provides moderate-certainty evidence that zuranolone probably improves depression response and remission but also increases maternal adverse events compared to placebo. There may be little or no difference in depression response and remission and probably little or no difference in maternal adverse events with intravenous neurosteroid GABA<sub>A</sub> positive allosteric modulators such as brexanolone, compared to placebo. Evidence from this review, alongside current clinical guidelines and reference to evidence from the general adult population, could be used to inform an individualised risk-benefit discussion with women seeking treatment for postnatal depression. However, it is difficult to make recommendations about the use of neurosteroid GABA<sub>A</sub> receptor positive allosteric modulators for the treatment of postnatal depression as no studies have compared them to active treatment.",The Cochrane database of systematic reviews,2025,Claire A Wilson; Lindsay Robertson; Karyn Ayre; Jessica L Hendon; Sarah Dawson; Charlene Bridges; Hind Khalifeh
40562404,Unilateral involuntary movements of the limbs with caudate nucleus restricted diffusion on magnetic resonance imaging: A case report.,"Anti-leucine-rich glioma-inactivated-1 (LGI1) autoimmune encephalitis is one of the most prevalent forms of autoantibody-associated limbic encephalitis. Brain magnetic resonance imaging of patients with anti-LGI1 encephalitis often presents as fluid-attenuated inversion recovery hyperintensities of the medial temporal lobe. We report the case of a man in his early 60s who suddenly experienced involuntary movement of the right limbs. Brain magnetic resonance imaging revealed normal T1 signal and T2 hyperintensity in the left caudate nucleus, with corresponding fluid-attenuated inversion recovery hyperintensity, diffusion-weighted imaging hyperintensity, and apparent diffusion coefficient hypointensity. The patient was ultimately diagnosed with anti-LGI1 autoimmune encephalitis. For patients with unilateral involuntary movement accompanied by restricted diffusion in the basal ganglia region, anti-LGI1 encephalitis should be considered.",The Journal of international medical research,2025,Lan Deng; Bing-Hu Li
40562400,"A Transdiagnostic Comparison of Mindfulness and Parenting Stress in Mothers of Children With Autism, Developmental Delay, and Fragile X Syndrome.","This study compared mindfulness and parenting daily hassles (PDH) among mothers of children with autism spectrum disorder (ASD), developmental delay (DD), and Fragile X syndrome (FXS), and explored diagnostic group as a moderator of the relationship between mindfulness and PDH. Mothers of children with ASD (n = 166), DD (n = 113), and FXS (n = 74) completed measures of PDH, trait mindfulness, and mindful parenting. Mothers reported comparable levels of trait mindfulness and PDH, but the FXS group (versus ASD and DD) reported higher levels of mindful parenting. The mindful parenting/PDH relationship was negative for all groups but weaker for mothers of children with ASD (versus DD and FXS). Implications for research and practice are discussed.",American journal on intellectual and developmental disabilities,2025,Laurel R Benjamin; Cameron L Neece; Laura Lee McIntyre; Rachel M Fenning; Anne Edwards; Angela Gwaltney; Anne C Wheeler
40562399,"Attitudes, Assumptions, and Beliefs of Obstetric Care Clinicians Regarding Perinatal Care of Women With Intellectual and Developmental Disabilities.","This study examines clinician attitudes, beliefs, and assumptions regarding perinatal care of women with intellectual and developmental disabilities (IDD) from the perspectives of both clinicians and women with IDD. We conducted semistructured individual interviews with women (n = 16) and individual interviews and one focus group with clinicians (n = 17). Data were analyzed using a content analysis approach. Analysis revealed both supportive and restrictive categories. Supportive: (a) accommodating needs, (b) respecting autonomy, and (c) supporting motherhood. Restrictive: (a) unwillingness to accommodate, (b) assumptions about decision-making capacity, (c) questioning parenting abilities, and (d) biased contraception and sterilization practices. Clinician training to address attitudes, beliefs, and assumptions is needed to improve perinatal care for women with IDD.",American journal on intellectual and developmental disabilities,2025,Lauren D Smith; Robyn M Powell; Aishwarya Khanna; Tiffany A Moore Simas; Monika Mitra
40562398,Individual and Environmental Factors Associated With Polypsychotropic Medication Regimens Among Adults With Intellectual Disability.,"Polypharmacy, the concurrent use of multiple medications, is common among adults with intellectual disability. Psychotropic medications are often implicated in polypharmacy among this population. The current study aimed to determine individual and environmental factors associated with polypsychotropic medication regimens using a population-based sample of adults with intellectual disability who receive Home and Community-Based Services waivers in Oklahoma. The following questions guided the study: a) What is the prevalence of polypsychotropic medication regimens? b) What are the individual and environmental factors significantly associated with polypsychotropic medication regimens? Findings confirmed high prevalence rates of polypsychotropic medication regimens among adult participants and highlighted significant associated individual and environmental factors.",American journal on intellectual and developmental disabilities,2025,Kami L Gallus; Jennifer L Jones; Steven R Erickson
40562397,Anxiety Self-Report in Autistic Adolescents With Intellectual Disability: Predictors of Parent-Youth Agreement.,"The use of self-report to assess anxiety in adolescents with intellectual disability (ID) is notably underexplored. This study examined the impact of youth-level factors (i.e., age, verbal and cognitive ability, adaptive skills) on anxiety self-report completion and parent-youth agreement among 72 autistic adolescents with ID. We also examined if parent accommodation behaviors, such as reassurance or routine modification, served as predictors of parent-youth agreement of anxiety. Results showed that 83% of adolescents completed the self-report measure, with verbal, cognitive, and adaptive ability predicting completion. Parental accommodation predicted parent-youth agreement on physical anxiety symptoms, but not global anxiety symptoms. Youth-level factors did not significantly predict agreement. Results highlight the need for expanded assessment approaches for assessing anxiety in youth with ID.",American journal on intellectual and developmental disabilities,2025,Elizabeth Glenn; Allison Meyer; Audrey Blakeley-Smith
40562395,Mindfulness and Psychoeducation Are Associated With Improved Perceived and Physiological Health Outcomes in Caregivers of Children With Autism.,"Parents of autistic children can experience less favorable outcomes than the general population on objective health measures. Accordingly, interventions including behaviorally-oriented and mind-body programs are associated with decreased stress and increased mental health. Caregivers (n = 22) of autistic children (aged 5-12) were randomized to group psychoeducation or mindfulness program for 8 weeks. Psychological and physiological measures included heart rate variability (HRV), sleep, parental stress, and perceived health. Both groups demonstrated improvement HRV, perceived parental stress, and perceived global health. The mindfulness group showed some advantage, including on root mean squared successive difference, somatization, and perceptions of their child's behavior. Although preliminary, results highlight the promise of short-term interventions for improving health for caregivers of autistic children.",American journal on intellectual and developmental disabilities,2025,Suzannah Iadarola; Piaopiao Cai; Michelle Porto; Karen Mustian
40562378,A diagnostic approach to neurocutaneous syndromes.,"Neurocutaneous syndromes are a group of genetically and phenotypically diverse disorders that primarily affect the skin, central and peripheral nervous systems, and eyes. Classifying neurocutaneous syndromes based on genetic mechanisms often proves impractical in routine clinical settings. This review proposes a practical classification of neurocutaneous syndromes based on their neurological manifestations, including neoplastic lesions, epilepsy, vascular abnormalities, and ataxia. In this narrative review, we examined original articles and reviews that explore neurocutaneous syndromes, published between January 2000 and July 2024. The figures are part of a personal collection of the authors. Early recognition of dermatological and neurological hallmarks can guide diagnosis and prompt timely evaluation and treatment. Therefore, a thorough understanding of neurocutaneous syndromes highlights the importance of integrated diagnostic strategies that combine neurological and dermatological assessments.",Arquivos de neuro-psiquiatria,2025,Sofia Mônaco Gama; João Vitor Gerdulli Tamanini; Marianna Pinheiro Moraes de Moraes; Thiago Yoshinaga Tonholo Silva; Fernanda Teresa de Lima; José Luiz Pedroso; Orlando Graziani Povoas Barsottini
40562372,Delayed cerebral ischemia after aneurysmal subarachnoid hemorrhage: a narrative review.,"Aneurismal subarachnoid hemorrhage (aSAH) is a condition with elevated mortality and morbidity, which usually affects a working-age population, leading to a high socioeconomic burden. Among those who survive the initial bleeding, approximately 30% will experience delayed cerebral ischemia (DCI), which is a significant factor in poor outcomes. However, it is potentially reversible if appropriate treatment is promptly initiated. The amount of blood present on the initial computed tomography (CT) scan, assessed through the modified Fisher scale (mFisher), and the patient's neurological status upon admission, are the strongest predictors of DCI. Early prevention is essential and typically involves administration of enteral nimodipine and the maintenance of euvolemia, while other treatment options have limited supporting evidence. Diagnosing remains a challenge, primarily due to its reliance on clinical examinations. This is more pronounced in high-grade aSAH patients who are unconscious or sedated. In such cases, additional methods may be necessary, such as transcranial Doppler (TCD), continuous electroencephalography (cEEG), or CT with perfusion (CTP). Treatment aims to prevent cerebral infarction and poor clinical outcomes, and it is based on hemodynamic optimization, hypertension induction, cardiac output augmentation, and endovascular therapy. Nevertheless, randomized data on DCI management remains scarce, highlighting the urgent need for more studies and a better understanding of this SAH complication. Addressing this gap may lead to more effective preventive strategies and treatments, which is crucial for improving the prognosis of these patients.",Arquivos de neuro-psiquiatria,2025,Ingrid Pereira Marques; Carolina Rouanet Cavalcanti de Albuquerque; Natalia Vasconcellos de Oliveira Souza; João Brainer Clares de Andrade; Gisele Sampaio Silva; Pedro Kurtz
40562371,Acute arterial ischemic stroke in children: single-center experience.,"Arterial ischemic stroke (AIS) is an increasingly common disorder in childhood that causes severe mortality and morbidity.To emphasize the importance of early diagnosis and treatment of AIS cases, as well as the early initiation of physical therapy.We retrospectively reviewed the medical records of 23 patients aged 1 month to 18 years, who were admitted with acute neurological complaints and diagnosed radiologically with AIS at the Bursa Yüksek İhtisas Training and Research Hospital, a tertiary healthcare facility, between January 2016 and June 2020.Neurological deficit was the most common (12 patients; 52%) complaint, followed by seizure in 5 patients (21%), facial paralysis in 5 patients (21%), and visual impairment in 3 patients (13%). We performed brain computed tomography (CT) scans in 12 (52%) patients at the first application, and infarction was detected in 8 (66%). Infarction was in the cerebrum in 19 (82%) patients. Mutations of the <i>methylenetetrahydrofolate reductase</i> (<i>MTHFR</i>; A1298C and 677C > T) gene were found most frequently. Cardiac anomalies were detected in 7 (30%) patients, and 2 patients had ventriculoperitoneal shunts.Arterial ischemic stroke presents very different clinical findings, such as hiccups, anisocoria, and upward gaze paralysis. We wanted to emphasize the importance of cranial CT scanning because sometimes MRI is not always easily performed in children. Concomitant conditions, such as intracranial operation, ventriculoperitoneal shunt, and hypochondroplasia, may increase the risk of stroke.",Arquivos de neuro-psiquiatria,2025,Muharrem Bostancı; Arzu Ekici; Cengiz Havalı
40562370,The impact of changing diagnostic criteria on disability in a Brazilian multiple sclerosis cohort.,"Updating multiple sclerosis (MS) diagnostic criteria over recent decades may have impacted disability progression.To assess the effects of the passage of time and changes in diagnostic criteria on disability.A retrospective study of Brazilian people with relapsing-remitting MS from 1994 to 2019. Descriptive analysis compared three periods based on admission: Epoch 1 (1994-2001), 2 (2002-2010), and 3 (2011-2019). Cox regressions were performed for the outcomes of the expanded disability status scale (EDSS) 6.0 and conversion to secondary progressive MS (SPMS). We compared the three Epochs in sequence, the Poser with all McDonald criteria combined, and Poser versus each McDonald criteria (2001, 2005, 2010, and 2017). A multivariate logistic regression assessed the impact of diagnostic criteria on patients reaching EDSS 6.0.Time to diagnosis and treatment decreased across Epochs. For reaching EDSS 6.0, the Cox regression indicated a hazard ratio (HR) 63% lower for Epoch 3 compared with 1, an HR 50% lower for the McDonald criteria combined, and an HR 65% lower for McDonald 2010 compared with Poser. Regarding the conversion to SPMS, the HR was 53% lower for Epoch 3, 48% lower for the McDonald criteria combined, and 64% lower for McDonald 2010. The multivariate logistic regression demonstrated that incomplete recovery of initial symptoms was the main prognostic factor for reaching EDSS 6.0. However, transitioning diagnostic criteria from Poser to McDonald 2001 and 2005 decreased these odds by 54%.Newer diagnostic criteria have reduced the likelihood of reaching EDSS 6.0 and converting to SPMS over the past 25 years.",Arquivos de neuro-psiquiatria,2025,Felipe Toscano Lins de Menezes; Jéssica Monique Dias Alencar; Alexandre Bussinger Lopes; Leizian de Souza Amorim; Raquel Paiva Portugal; Flávia Timbó Albuquerque; Natasha Pryanca de Araújo Bessa; Larissa Sabino Ferreira Vicente; Nilton Amorim de Souza; Denis Bernardi Bichuetti; Enedina Maria Lobato de Oliveira
40562349,Tobacco smoking is associated with attenuated error monitoring.,"Addiction is associated with neurophysiological deficits in error monitoring (EM), i.e., the continuous assessment of ongoing actions and comparing the outcomes of these actions with internal goals and standards, measured by, e.g., event-related potentials (ERPs). For tobacco smoking, the largest global substance addiction, there is no firm conclusion on the relation with EM due to a paucity of studies. A relatively large gender-balanced sample (N=92, of which 44 smoking participants) performed the Eriksen-flanker task while the electroencephalogram (EEG) was recorded. The error-related negativity (ERN) and the error positivity (Pe) were measured, as well as event-related oscillations (EROs) in the theta and delta frequency bands. The results show a blunted ERN and Pe in smoking participants compared to non-smoking participants, providing evidence for attenuated error detection and salience. Reduced power in transient event-related theta and delta oscillations for smoking participants appeared to underlie the weaker ERN and Pe, respectively. There was no group difference in behavioral performance. Group differences in Pe/Pc, theta, and delta band power remained after robustness testing (i.e., 80% reliability criterium with 18 trials in each condition). Attenuated error monitoring was found for people who smoke tobacco, manifested as a blunted ERN and Pe, which appear to be driven by reduced bursts of theta and delta power, respectively. This shows that tobacco smoking is associated with a robust deficit in EM that has been found in other substance use disorders, and it appears to increase with dependence severity.",Biological psychology,2025,C Henrico Stam; Frederik M van der Veen; Vaughn R Steele; Ingmar H A Franken
40562281,Interplay between Exercise and Neuregulin in providing neuroprotection.,"Exercise has been shown to have a positive impact on brain health including neuroprotective function. It has been demonstrated to increase the synthesis of neurotrophic factors, support neuronal survival, and improve neuroplasticity. Concurrently, neuregulin plays a vital role in the development, maintenance, and repair of both the central and peripheral nervous system. The link between exercise and neuregulin in mediating neuroprotection has been the subject of increased research to better understand the possible applications for the deterrence of neurodegenerative disorders. Understanding this link is of great interest because it has the potential to lead to new strategies for preventing or slowing the progression of neurodegenerative diseases. With an emphasis on exercise-induced neuregulin-mediated neuroprotection, this article reviews the literature on the neuroprotective effects of exercise and neuregulin. The synergistic effects of exercise and neuregulin on neuroprotection will be clarified and valuable insights will be gained from this review, with potential implications for the development of novel therapeutic strategies for neurodegenerative diseases such as Amyotrophic lateral sclerosis (ALS), Parkinson's disease (PD), Alzheimer's disease (AD) and Huntington's disease (HD).",Behavioural brain research,2025,Jyotsna Sharma; Abhimanyu Thakur; Manjari Rain; Radhika Khosla; Kalyan Maity; Gaurav Raj Mathur; Akshay Anand
40562227,Multi-ingredient energy dietary supplement with a small amount of caffeine modulates central and autonomic nervous system after a single use.,"Most research on the impact of neurostimulatory substances on brain function and human behavior focuses on the adverse effects of their high doses or long-term use. However, little is known about the impact of single doses that contain psychostimulants only in a small amount. Therefore, we investigated the acute effect of an energy dietary multi-ingredient supplement with a low amount of caffeine (55 mg) on the ANS in a double-blind, placebo-controlled study (47 participants, 27 women). Previously, we reported its impact on the activity of the CNS through changes in the resting state EEG (rsEEG) pattern and event-related brain potentials by reversing the fatigue-related brain activity. Here, we show that supplementation also influences the ANS through changes in heart electrophysiology. The supplement changed the PRQ and QTc intervals in the ECG signal. In addition, LF power changes were correlated with the changes in rsEEG, which we reported earlier. These findings show that a single dose of dietary supplementation with a much smaller dose of caffeine than in typical caffeinated products may still impact both the CNS and ANS. The results indicate that using such products before electrophysiological examinations in research, diagnostics, and treatment should be considered to control confounding factors. Finally, since the effects were elicited by an energy boost supplement in the mentally fatigued participants, it may be of special importance and enable translation into treatments related to attention, anxiety, mood, and memory disorders.",Neuroscience,2025,Karina Maciejewska; Klaudia Duch; Maciej Giza; Aleksandra Nas
40562213,"Understanding emotional fatigue: a systematic review of causes, consequences, and coping strategies.","Emotional fatigue, a significant component of burnout, is increasingly recognized as a critical issue affecting healthcare professionals and other high-stress occupations. This systematic review identifies the causes, consequences, and coping strategies associated with emotional fatigue in healthcare workers. A comprehensive search of peer-reviewed articles was conducted across multiple databases. The selection criteria focused on studies that explicitly addressed emotional fatigue, its determinants, impacts, and coping mechanisms. The review identified common causes of emotional fatigue, such as prolonged exposure to high-stress environments, lack of social support, and insufficient recovery time. Consequences include decreased job performance, increased absenteeism, and a higher risk of mental health disorders. Coping strategies include mindfulness practices, organizational support, and the implementation of work-life balance interventions. The findings underscore the importance of addressing emotional fatigue through both individual and systemic approaches. While coping strategies can mitigate some effects, organizational changes are essential to create a supportive work environment. Emotional fatigue is a critical issue that requires attention at both the individual and organizational levels.",Enfermeria clinica,2025,Sara Gonçalves; Rita S Matos
